F0,F1,F2,F3,S0,S1,S2,S3,M0,M1,M2,M3
"x: -0.035059597
y: 0.034896825
z: 0.04846645
","x: -0.047710717
y: 0.017187107
z: 0.02827123
","x: -0.055300895
y: -0.0061687753
z: -0.009211901
","x: -0.06729309
y: -0.032657325
z: -0.019880125
","x: -0.015001293
y: -0.011172733
z: -0.004458432
","x: -0.007264361
y: -0.0403986
z: -0.012223329
","x: -0.0042128228
y: -0.061126545
z: -0.019727366
","x: 0.0027290415
y: -0.07767227
z: -0.046712913
","x: 0.00095143367
y: -0.0034857155
z: -0.0023347111
","x: 0.01531416
y: -0.022460397
z: -0.02013106
","x: 0.029122222
y: -0.034104135
z: -0.0450467
","x: 0.046807848
y: -0.045227602
z: -0.08967551
"
"x: -0.03147866
y: 0.03177367
z: 0.045482498
","x: -0.045166135
y: 0.015425437
z: 0.02793504
","x: -0.054592315
y: -0.0072326707
z: -0.004383837
","x: -0.06748503
y: -0.032274608
z: -0.016285114
","x: -0.017073795
y: -0.009128469
z: -0.0033815422
","x: -0.010240028
y: -0.038370058
z: -0.011207633
","x: -0.0076275114
y: -0.056889266
z: -0.022129375
","x: -0.0026032943
y: -0.07295948
z: -0.0469278
","x: 0.00010308868
y: -0.0022388655
z: -0.0017198223
","x: 0.013329925
y: -0.017650612
z: -0.020021142
","x: 0.028236039
y: -0.03261232
z: -0.043765478
","x: 0.045848843
y: -0.041163135
z: -0.08613603
"
"x: -0.035394907
y: 0.029995909
z: 0.045455523
","x: -0.04660329
y: 0.012509791
z: 0.027239487
","x: -0.054361634
y: -0.008856017
z: -0.00776453
","x: -0.06505655
y: -0.03568074
z: -0.017055573
","x: -0.015141331
y: -0.010496537
z: -0.0044437046
","x: -0.008778167
y: -0.04073497
z: -0.011477526
","x: -0.0047944468
y: -0.062167376
z: -0.019368097
","x: 0.0025467593
y: -0.078790024
z: -0.04477674
","x: 0.00078953133
y: -0.0027887486
z: -0.0019503946
","x: 0.015424598
y: -0.020828491
z: -0.01977024
","x: 0.03182014
y: -0.0325576
z: -0.04208301
","x: 0.04992065
y: -0.04376511
z: -0.08554514
"
"x: -0.036312256
y: 0.030834805
z: 0.044380732
","x: -0.047745384
y: 0.012830036
z: 0.029705636
","x: -0.053190835
y: -0.01353537
z: -0.004012717
","x: -0.06418042
y: -0.041044664
z: -0.014180164
","x: -0.014643681
y: -0.011675779
z: -0.0027113815
","x: -0.007981536
y: -0.042852614
z: -0.00903166
","x: -0.0039362777
y: -0.060472287
z: -0.019306056
","x: 0.0009907559
y: -0.076941825
z: -0.046206675
","x: 0.0005694425
y: -0.0029948824
z: -0.0012885976
","x: 0.017440017
y: -0.022924108
z: -0.0178146
","x: 0.03421408
y: -0.035652027
z: -0.037581597
","x: 0.050916098
y: -0.045066036
z: -0.07740492
"
"x: -0.03670436
y: 0.030352507
z: 0.043308686
","x: -0.04723281
y: 0.01198565
z: 0.02959934
","x: -0.053160287
y: -0.014306788
z: -0.0030602145
","x: -0.06484037
y: -0.041690003
z: -0.012894782
","x: -0.01404933
y: -0.011282451
z: -0.0027554333
","x: -0.0077257873
y: -0.042766288
z: -0.009488067
","x: -0.003540825
y: -0.06094607
z: -0.019690482
","x: 0.0022650473
y: -0.07760103
z: -0.045774695
","x: 0.00084065786
y: -0.0029118445
z: -0.0009867394
","x: 0.01703269
y: -0.02165083
z: -0.01743934
","x: 0.03389352
y: -0.03362727
z: -0.037575252
","x: 0.05186353
y: -0.043393172
z: -0.07656248
"
"x: -0.035654277
y: 0.029187221
z: 0.04440596
","x: -0.047432665
y: 0.010848474
z: 0.03095842
","x: -0.05496293
y: -0.015068133
z: -0.0010741832
","x: -0.06772067
y: -0.043284066
z: -0.011775353
","x: -0.014546229
y: -0.01156819
z: -0.0035865698
","x: -0.0074467
y: -0.04201097
z: -0.010145756
","x: -0.0032807756
y: -0.060278114
z: -0.019960944
","x: 0.0027154908
y: -0.07672442
z: -0.04529096
","x: 0.0008942
y: -0.0028679033
z: -0.001122594
","x: 0.016695447
y: -0.020409096
z: -0.01889512
","x: 0.033709213
y: -0.032091856
z: -0.038845886
","x: 0.051720873
y: -0.040293217
z: -0.07891179
"
"x: -0.037790388
y: 0.031295255
z: 0.040607158
","x: -0.048618875
y: 0.013058826
z: 0.027306883
","x: -0.055215545
y: -0.0133710485
z: -0.004215798
","x: -0.06824277
y: -0.041329116
z: -0.012307325
","x: -0.013877375
y: -0.010695744
z: -0.0039835162
","x: -0.008144556
y: -0.04121107
z: -0.009476935
","x: -0.0032311324
y: -0.06014286
z: -0.019181563
","x: 0.002712177
y: -0.07637711
z: -0.044868056
","x: 0.0008282983
y: -0.0029030887
z: -0.0010436471
","x: 0.016907454
y: -0.02170123
z: -0.017662821
","x: 0.034581594
y: -0.03268204
z: -0.037918173
","x: 0.051858176
y: -0.04140266
z: -0.07752398
"
"x: -0.037402604
y: 0.030077592
z: 0.044348266
","x: -0.04681805
y: 0.010765232
z: 0.029711267
","x: -0.05245477
y: -0.015966944
z: -0.0023356832
","x: -0.06353572
y: -0.043266144
z: -0.012926986
","x: -0.013822788
y: -0.011749378
z: -0.002063763
","x: -0.0074074157
y: -0.043722928
z: -0.00886762
","x: -0.0037443358
y: -0.061646387
z: -0.019293046
","x: 0.001210358
y: -0.07773398
z: -0.04385786
","x: 0.00078113173
y: -0.0032853617
z: -0.0008266749
","x: 0.018779818
y: -0.02288512
z: -0.016027382
","x: 0.036401175
y: -0.03571148
z: -0.034962762
","x: 0.05666113
y: -0.043496482
z: -0.07374355
"
"x: -0.033982635
y: 0.030414239
z: 0.04608544
","x: -0.045886114
y: 0.011838457
z: 0.03158199
","x: -0.05296367
y: -0.014393494
z: -0.00058918475
","x: -0.063994095
y: -0.042315513
z: -0.01235965
","x: -0.01502921
y: -0.011359665
z: -0.002164574
","x: -0.007794723
y: -0.04103456
z: -0.009050398
","x: -0.0049676225
y: -0.058770508
z: -0.019074814
","x: 0.00067455135
y: -0.074130006
z: -0.043322217
","x: 0.0006327386
y: -0.0026350096
z: -0.0013942417
","x: 0.01737383
y: -0.01962586
z: -0.01751616
","x: 0.033426
y: -0.032420803
z: -0.03601129
","x: 0.052126702
y: -0.03959588
z: -0.07560122
"
"x: -0.036552474
y: 0.030429814
z: 0.043193918
","x: -0.04727719
y: 0.011574291
z: 0.03073225
","x: -0.0539129
y: -0.013940492
z: -0.0026381386
","x: -0.06402862
y: -0.04273939
z: -0.014408711
","x: -0.013967592
y: -0.011822144
z: -0.002053766
","x: -0.008215703
y: -0.04167854
z: -0.009015374
","x: -0.0041814223
y: -0.06052419
z: -0.019093601
","x: 0.0030981768
y: -0.07587354
z: -0.04416885
","x: 0.0012097917
y: -0.003545714
z: -0.0009027642
","x: 0.01664378
y: -0.022043068
z: -0.017409658
","x: 0.033835065
y: -0.03542716
z: -0.035651837
","x: 0.05285109
y: -0.04570314
z: -0.07458585
"
"x: -0.034404274
y: 0.030308038
z: 0.04685023
","x: -0.04583345
y: 0.012119828
z: 0.032734465
","x: -0.05307582
y: -0.013244784
z: 0.00012083075
","x: -0.06428771
y: -0.042596184
z: -0.014293514
","x: -0.015027503
y: -0.010594933
z: -0.0014665329
","x: -0.008106452
y: -0.04114254
z: -0.0072216284
","x: -0.005021762
y: -0.058846876
z: -0.018252283
","x: 0.0014651511
y: -0.074654676
z: -0.041768685
","x: 0.00085249846
y: -0.002892522
z: -0.0011107608
","x: 0.016485581
y: -0.0200571
z: -0.017780969
","x: 0.032803293
y: -0.03364126
z: -0.036645446
","x: 0.052107677
y: -0.0427007
z: -0.074878916
"
"x: -0.036128566
y: 0.030733457
z: 0.04478228
","x: -0.04720497
y: 0.012045877
z: 0.031548206
","x: -0.054981872
y: -0.013633831
z: -0.0008252963
","x: -0.06618728
y: -0.04301844
z: -0.013717926
","x: -0.014564656
y: -0.0116390055
z: -0.0013633448
","x: -0.00827449
y: -0.041558515
z: -0.0076972144
","x: -0.00518167
y: -0.060006052
z: -0.018537344
","x: 0.00216873
y: -0.0762607
z: -0.04312186
","x: 0.0012242
y: -0.003084775
z: -0.0008263812
","x: 0.016685087
y: -0.021287331
z: -0.018374389
","x: 0.03327559
y: -0.03396599
z: -0.03745393
","x: 0.051043402
y: -0.04448215
z: -0.07694853
"
"x: -0.034686275
y: 0.030541101
z: 0.045212965
","x: -0.046023518
y: 0.013276901
z: 0.030702254
","x: -0.05382359
y: -0.012076469
z: -0.0017396834
","x: -0.067633174
y: -0.040028244
z: -0.01498936
","x: -0.014346358
y: -0.011011266
z: -0.0025679534
","x: -0.008032609
y: -0.041182786
z: -0.0091896
","x: -0.004522156
y: -0.0587863
z: -0.02051294
","x: 0.0018956121
y: -0.07458916
z: -0.045422647
","x: 0.00076582923
y: -0.0030759352
z: -0.0011407816
","x: 0.015138901
y: -0.02015074
z: -0.019201102
","x: 0.030619625
y: -0.03293844
z: -0.0407177
","x: 0.048527308
y: -0.041773517
z: -0.08098744
"
"x: -0.036305808
y: 0.03278436
z: 0.04211607
","x: -0.04720182
y: 0.013736727
z: 0.030086206
","x: -0.05529786
y: -0.012624501
z: -0.0018761882
","x: -0.06725487
y: -0.040437065
z: -0.013283146
","x: -0.014737674
y: -0.01147121
z: -0.00077435223
","x: -0.008085067
y: -0.040518396
z: -0.007723815
","x: -0.004528694
y: -0.060216997
z: -0.016389705
","x: 0.0025690142
y: -0.07696297
z: -0.039322093
","x: 0.0011369805
y: -0.0034233893
z: -0.00078486477
","x: 0.015495067
y: -0.02197428
z: -0.01850049
","x: 0.031806063
y: -0.034444306
z: -0.035660792
","x: 0.049790088
y: -0.045730148
z: -0.07248914
"
"x: -0.034538038
y: 0.03164172
z: 0.043864336
","x: -0.046119947
y: 0.012965872
z: 0.029434474
","x: -0.054268286
y: -0.011799726
z: -0.001582024
","x: -0.06650013
y: -0.039661795
z: -0.013681446
","x: -0.014873484
y: -0.010538958
z: -0.0013916917
","x: -0.008153027
y: -0.040924314
z: -0.0072424533
","x: -0.003979791
y: -0.060354054
z: -0.017537752
","x: 0.0030436292
y: -0.0764067
z: -0.040471926
","x: 0.0008539753
y: -0.002944787
z: -0.00078656274
","x: 0.015121633
y: -0.019987056
z: -0.018165022
","x: 0.031529866
y: -0.03361759
z: -0.036559157
","x: 0.050702736
y: -0.044152003
z: -0.07356797
"
"x: -0.0371239
y: 0.03368993
z: 0.0409577
","x: -0.047030076
y: 0.013620856
z: 0.027961083
","x: -0.054907102
y: -0.012233717
z: -0.0024211896
","x: -0.06654506
y: -0.041732844
z: -0.012141488
","x: -0.013975216
y: -0.011400294
z: -0.0004902554
","x: -0.007357469
y: -0.04100439
z: -0.0066503696
","x: -0.0034897327
y: -0.061105277
z: -0.014719285
","x: 0.0037583578
y: -0.07713966
z: -0.037662953
","x: 0.0013988435
y: -0.0037178167
z: -0.00046511283
","x: 0.014767952
y: -0.021898882
z: -0.017893206
","x: 0.030622624
y: -0.034489457
z: -0.03497882
","x: 0.049699023
y: -0.047264647
z: -0.071850844
"
"x: -0.036105692
y: 0.033694725
z: 0.04350069
","x: -0.046984755
y: 0.014838642
z: 0.028057594
","x: -0.05396589
y: -0.010513739
z: -0.002974655
","x: -0.065945216
y: -0.038745277
z: -0.014370805
","x: -0.015286606
y: -0.010826202
z: -0.0009407109
","x: -0.008409775
y: -0.041270025
z: -0.0074696
","x: -0.00447342
y: -0.05981965
z: -0.017018054
","x: 0.0021682568
y: -0.076009214
z: -0.04028578
","x: 0.00075685454
y: -0.0036166671
z: -0.00065418554
","x: 0.015215039
y: -0.02062771
z: -0.01802188
","x: 0.03084208
y: -0.033735976
z: -0.03667757
","x: 0.050179407
y: -0.04456177
z: -0.07379077
"
"x: -0.03678701
y: 0.033047866
z: 0.041421458
","x: -0.04754895
y: 0.013394207
z: 0.028670326
","x: -0.05512746
y: -0.011510315
z: -0.0022393337
","x: -0.06661354
y: -0.041282658
z: -0.011627071
","x: -0.014807518
y: -0.010747272
z: -0.0010663113
","x: -0.009103769
y: -0.040460475
z: -0.0070111686
","x: -0.005413495
y: -0.060217835
z: -0.016107554
","x: 0.00098034
y: -0.076808885
z: -0.040031385
","x: 0.001272025
y: -0.003099854
z: -0.00059462624
","x: 0.014553884
y: -0.02100769
z: -0.018394593
","x: 0.030377943
y: -0.03387363
z: -0.035882458
","x: 0.048552245
y: -0.046829984
z: -0.07333712
"
"x: -0.036452293
y: 0.033192433
z: 0.04145236
","x: -0.047291435
y: 0.0134105915
z: 0.028544601
","x: -0.054796305
y: -0.012387241
z: -0.0005788177
","x: -0.066279046
y: -0.04064071
z: -0.010511628
","x: -0.014507012
y: -0.011046641
z: -4.3643373e-05
","x: -0.0090690665
y: -0.04095923
z: -0.006124813
","x: -0.005451219
y: -0.060514137
z: -0.015435442
","x: 0.00086309016
y: -0.077455685
z: -0.037801355
","x: 0.0009352205
y: -0.0034434458
z: -0.0004980164
","x: 0.015225704
y: -0.02124627
z: -0.017902082
","x: 0.030526008
y: -0.034317914
z: -0.035687733
","x: 0.0494188
y: -0.046653464
z: -0.070877634
"
"x: -0.036045454
y: 0.0334918
z: 0.04182024
","x: -0.047153212
y: 0.01388599
z: 0.028446807
","x: -0.054376177
y: -0.011714875
z: -0.001406452
","x: -0.06538105
y: -0.040376198
z: -0.0111397365
","x: -0.014890134
y: -0.011268162
z: -0.0010355312
","x: -0.009046266
y: -0.041353025
z: -0.0073309094
","x: -0.0057494286
y: -0.061168678
z: -0.016629215
","x: 0.0008807387
y: -0.07644181
z: -0.039839443
","x: 0.00097591593
y: -0.0035995503
z: -0.00064385665
","x: 0.015013156
y: -0.022264376
z: -0.01721927
","x: 0.030811194
y: -0.03586427
z: -0.035033356
","x: 0.049716663
y: -0.048358377
z: -0.07073209
"
"x: -0.037119314
y: 0.03423817
z: 0.038640127
","x: -0.04776057
y: 0.01493163
z: 0.025481468
","x: -0.054905713
y: -0.011854098
z: -0.002593864
","x: -0.0672195
y: -0.03880805
z: -0.010501462
","x: -0.015615887
y: -0.011111261
z: -0.0015656232
","x: -0.009504489
y: -0.040441915
z: -0.008068638
","x: -0.0054821987
y: -0.059476808
z: -0.01695884
","x: 0.0014092196
y: -0.07599614
z: -0.03992715
","x: 0.0004894457
y: -0.0035376942
z: -0.00072598597
","x: 0.014821796
y: -0.020925818
z: -0.017114123
","x: 0.030083716
y: -0.034848876
z: -0.03460801
","x: 0.049158372
y: -0.045741793
z: -0.06978711
"
"x: -0.035729155
y: 0.034602992
z: 0.041251283
","x: -0.04746476
y: 0.015512036
z: 0.027561016
","x: -0.055348445
y: -0.011530213
z: -0.0019625798
","x: -0.06692732
y: -0.039014168
z: -0.011719276
","x: -0.015789557
y: -0.011397502
z: -0.0005504075
","x: -0.009918841
y: -0.04104465
z: -0.0074131833
","x: -0.0063046683
y: -0.059866607
z: -0.0169827
","x: 0.0003189426
y: -0.07647408
z: -0.040970903
","x: 0.00038951705
y: -0.003704468
z: -0.0007490694
","x: 0.0150004
y: -0.022526868
z: -0.017679138
","x: 0.029443663
y: -0.03592428
z: -0.0362496
","x: 0.048506096
y: -0.04704991
z: -0.07317379
"
"x: -0.03730554
y: 0.033952896
z: 0.038790815
","x: -0.047347732
y: 0.014362722
z: 0.02581298
","x: -0.05447789
y: -0.012252504
z: -0.002178216
","x: -0.06656341
y: -0.04024349
z: -0.01051406
","x: -0.014286634
y: -0.011525743
z: -0.00040375706
","x: -0.009673775
y: -0.04158286
z: -0.0064612105
","x: -0.0063756667
y: -0.060706265
z: -0.01530547
","x: 0.00015642308
y: -0.07686955
z: -0.037441082
","x: 0.0009190109
y: -0.0038668227
z: -0.0002567313
","x: 0.0154497735
y: -0.022739217
z: -0.0156964
","x: 0.030815529
y: -0.03702281
z: -0.03303784
","x: 0.04956425
y: -0.049692273
z: -0.06760284
"
"x: -0.036661014
y: 0.037571695
z: 0.041098163
","x: -0.047735248
y: 0.018074341
z: 0.025588611
","x: -0.05600417
y: -0.009393093
z: -0.002163629
","x: -0.06974244
y: -0.03705069
z: -0.011026811
","x: -0.016516
y: -0.009438008
z: -0.00020814603
","x: -0.010915836
y: -0.039061144
z: -0.006347826
","x: -0.007363461
y: -0.05830469
z: -0.015166582
","x: -0.0011648405
y: -0.074951254
z: -0.038914215
","x: 0.00023910357
y: -0.0037381877
z: -0.0007720414
","x: 0.014520361
y: -0.02157018
z: -0.017130494
","x: 0.030824203
y: -0.036638815
z: -0.034813028
","x: 0.050576262
y: -0.050507918
z: -0.06888173
"
"x: -0.036642954
y: 0.03636453
z: 0.039294694
","x: -0.047388457
y: 0.01760216
z: 0.02614662
","x: -0.055127095
y: -0.01010321
z: -0.0021879047
","x: -0.06866404
y: -0.0375112
z: -0.010310272
","x: -0.014950856
y: -0.010534404
z: -0.00034839334
","x: -0.010487616
y: -0.039807912
z: -0.0061976756
","x: -0.0064006243
y: -0.058617897
z: -0.014454049
","x: -0.00023383647
y: -0.07600251
z: -0.036702383
","x: 0.00048615708
y: -0.003895269
z: -0.0001899885
","x: 0.015673382
y: -0.02281339
z: -0.016544765
","x: 0.031838093
y: -0.036998738
z: -0.031518184
","x: 0.051216427
y: -0.050771207
z: -0.065245554
"
"x: -0.037350178
y: 0.037345476
z: 0.03757851
","x: -0.048159145
y: 0.018374868
z: 0.02348537
","x: -0.056249138
y: -0.009832232
z: -0.004045674
","x: -0.06939155
y: -0.03720154
z: -0.011099073
","x: -0.015597425
y: -0.010268234
z: -0.0010770812
","x: -0.010529291
y: -0.040113553
z: -0.0067413584
","x: -0.0063758176
y: -0.059540067
z: -0.014354637
","x: -0.00060790405
y: -0.077110015
z: -0.035670567
","x: 0.00032443483
y: -0.0040418007
z: -0.00029464214
","x: 0.014794711
y: -0.023209007
z: -0.01622556
","x: 0.03059483
y: -0.037670378
z: -0.031015094
","x: 0.05022372
y: -0.050726406
z: -0.06344024
"
"x: -0.038036745
y: 0.036465332
z: 0.03833727
","x: -0.047845505
y: 0.016950086
z: 0.023374561
","x: -0.05591963
y: -0.008721553
z: -0.0046214997
","x: -0.069591336
y: -0.03686638
z: -0.012595551
","x: -0.015291729
y: -0.010112892
z: -0.0008926536
","x: -0.010327432
y: -0.038858265
z: -0.0069274744
","x: -0.0063842833
y: -0.05830582
z: -0.01613952
","x: -0.00023853779
y: -0.07471621
z: -0.0397351
","x: 0.00058266585
y: -0.0035324008
z: -1.9823606e-06
","x: 0.014193689
y: -0.021466237
z: -0.017207956
","x: 0.029505882
y: -0.036099188
z: -0.03384613
","x: 0.048394855
y: -0.049987704
z: -0.06856151
"
"x: -0.036651902
y: 0.036705706
z: 0.039521545
","x: -0.04728562
y: 0.01752888
z: 0.024542725
","x: -0.055101868
y: -0.009224157
z: -0.0031606343
","x: -0.06925746
y: -0.036368757
z: -0.0113911675
","x: -0.015748234
y: -0.010178659
z: -0.0011597459
","x: -0.010635362
y: -0.039805837
z: -0.007494058
","x: -0.0067538563
y: -0.058350492
z: -0.016987648
","x: -0.001043221
y: -0.074622326
z: -0.04081375
","x: 0.00018529722
y: -0.0036667725
z: -0.00020717706
","x: 0.014279986
y: -0.021914106
z: -0.017037757
","x: 0.029576715
y: -0.036914475
z: -0.033624675
","x: 0.04930963
y: -0.049533416
z: -0.06829273
"
"x: -0.037212316
y: 0.036365055
z: 0.03816964
","x: -0.046784636
y: 0.016711347
z: 0.023975478
","x: -0.05495971
y: -0.009715157
z: -0.0027019298
","x: -0.0682738
y: -0.037555743
z: -0.01036425
","x: -0.0146545125
y: -0.009889167
z: -0.0004578674
","x: -0.010086616
y: -0.039993502
z: -0.0065127225
","x: -0.006463254
y: -0.058784373
z: -0.016558694
","x: -0.0020848028
y: -0.07453696
z: -0.03991177
","x: 0.00045793818
y: -0.0037875853
z: -6.3195424e-05
","x: 0.014007868
y: -0.022897188
z: -0.01569367
","x: 0.028743748
y: -0.037710533
z: -0.031326644
","x: 0.047720857
y: -0.05064536
z: -0.06353867
"
"x: -0.037297167
y: 0.035970315
z: 0.040307008
","x: -0.04761307
y: 0.016652834
z: 0.025344383
","x: -0.055784453
y: -0.01010733
z: -0.0013369451
","x: -0.06891305
y: -0.0379242
z: -0.009967136
","x: -0.016395902
y: -0.010942893
z: -0.0006447126
","x: -0.011068864
y: -0.040244356
z: -0.0073049837
","x: -0.007778894
y: -0.059222296
z: -0.016092537
","x: -0.0023156814
y: -0.07474221
z: -0.04179786
","x: 0.0004648312
y: -0.0036732052
z: -0.0001231057
","x: 0.013705353
y: -0.021940522
z: -0.016734418
","x: 0.028020304
y: -0.037998613
z: -0.033711016
","x: 0.046696622
y: -0.04940941
z: -0.07095531
"
"x: -0.036124103
y: 0.036393136
z: 0.0410697
","x: -0.047737133
y: 0.017374018
z: 0.026085587
","x: -0.056667015
y: -0.010041627
z: -0.0008011057
","x: -0.069953784
y: -0.03702137
z: -0.010096685
","x: -0.016608464
y: -0.01058002
z: -0.00039335233
","x: -0.011177492
y: -0.04107879
z: -0.006401088
","x: -0.008291176
y: -0.05958484
z: -0.015933484
","x: -0.0024105962
y: -0.0765645
z: -0.039743725
","x: 0.00023166288
y: -0.0039709467
z: -0.0005368428
","x: 0.01364043
y: -0.022121323
z: -0.01744223
","x: 0.02740375
y: -0.03760348
z: -0.033246502
","x: 0.04649026
y: -0.049841292
z: -0.06831442
"
"x: -0.036368906
y: 0.036753483
z: 0.039828543
","x: -0.04746773
y: 0.017463777
z: 0.02633892
","x: -0.0561719
y: -0.009268038
z: -0.0013159158
","x: -0.06906752
y: -0.036348354
z: -0.0104845045
","x: -0.016031805
y: -0.010337571
z: 4.10828e-05
","x: -0.010863599
y: -0.03967906
z: -0.0059993095
","x: -0.0075052567
y: -0.05852965
z: -0.015850471
","x: -0.002148116
y: -0.07484747
z: -0.038617734
","x: 0.00044329587
y: -0.0037286072
z: -0.00029636812
","x: 0.013710707
y: -0.022661472
z: -0.01760929
","x: 0.027495775
y: -0.03693735
z: -0.03383462
","x: 0.045886815
y: -0.049868353
z: -0.068781726
"
"x: -0.035058357
y: 0.036466826
z: 0.04036353
","x: -0.046806388
y: 0.017417409
z: 0.0254245
","x: -0.055777054
y: -0.0089683365
z: -0.0020931843
","x: -0.06837372
y: -0.036429033
z: -0.011356389
","x: -0.017131152
y: -0.01005459
z: -0.0010273433
","x: -0.011556646
y: -0.03957001
z: -0.007326217
","x: -0.008300524
y: -0.059195835
z: -0.016757602
","x: -0.0025315545
y: -0.076105915
z: -0.039512128
","x: 0.00018635485
y: -0.0036027627
z: -0.0003508163
","x: 0.013651749
y: -0.021651626
z: -0.017758055
","x: 0.0279736
y: -0.036543306
z: -0.03407642
","x: 0.047484227
y: -0.048994087
z: -0.070236295
"
"x: -0.036591977
y: 0.036171116
z: 0.03933164
","x: -0.047413442
y: 0.016828485
z: 0.026320718
","x: -0.05611979
y: -0.008966547
z: -0.0019754185
","x: -0.06910698
y: -0.036600817
z: -0.011361112
","x: -0.015956705
y: -0.010233425
z: -0.00029176328
","x: -0.011031124
y: -0.039632924
z: -0.0062441253
","x: -0.0076746047
y: -0.05925094
z: -0.015154729
","x: -0.002338346
y: -0.07606018
z: -0.03710811
","x: 0.00059715123
y: -0.0035259216
z: -0.00016612784
","x: 0.012956643
y: -0.022440014
z: -0.01818747
","x: 0.02754312
y: -0.036931615
z: -0.034647133
","x: 0.04584311
y: -0.050548866
z: -0.06975911
"
"x: -0.03345871
y: 0.036602937
z: 0.04162783
","x: -0.0458223
y: 0.017809685
z: 0.026930653
","x: -0.05523378
y: -0.00812437
z: -0.0015479205
","x: -0.068795815
y: -0.035380512
z: -0.009823021
","x: -0.016642751
y: -0.010324124
z: -0.0013041724
","x: -0.011603481
y: -0.03908923
z: -0.007334858
","x: -0.008612242
y: -0.058646142
z: -0.017537821
","x: -0.003073359
y: -0.074577376
z: -0.041865684
","x: 0.00012064038
y: -0.003297226
z: -0.0005711688
","x: 0.013121617
y: -0.021454547
z: -0.01825306
","x: 0.026668683
y: -0.036590166
z: -0.036524106
","x: 0.04508954
y: -0.048452023
z: -0.073338084
"
"x: -0.036049522
y: 0.03581939
z: 0.038908955
","x: -0.04670699
y: 0.016592216
z: 0.025522402
","x: -0.055311427
y: -0.009379896
z: -0.0037154886
","x: -0.06803526
y: -0.03670784
z: -0.013800884
","x: -0.015732987
y: -0.010019621
z: -7.635234e-05
","x: -0.010693997
y: -0.039635196
z: -0.0067590037
","x: -0.007218674
y: -0.06007792
z: -0.015312675
","x: -0.0014758427
y: -0.0768766
z: -0.037428975
","x: 0.0008567559
y: -0.0039928416
z: -0.0001578452
","x: 0.013456453
y: -0.02317455
z: -0.018211583
","x: 0.02754746
y: -0.036835164
z: -0.034607712
","x: 0.0449254
y: -0.05075459
z: -0.07007109
"
